clusterid,region,district,ward,village,ea,Latitude,Longitude,maipkg
1.30E+11,13,3,41,4,1,-5.852405272,35.07344598,333.33334
1.30E+11,13,3,303,4,1,-5.692854334,34.48468101,500
1.30E+11,13,4,133,1,309,-4.808453076,34.72676281,350
1.31E+11,13,5,181,2,5,-5.125203274,34.46557654,222.22223
1.31E+11,13,6,121,3,5,-4.274588086,34.69600645,444
1.40E+11,14,1,151,2,12,-4.447180067,33.26024084,600
1.40E+11,14,1,231,5,2,-4.015700013,33.05791103,361.11111
1.40E+11,14,1,321,8,5,-4.579979834,32.62399359,250
1.40E+11,14,2,13,3,350,-4.290016805,33.86896361,350
1.40E+11,14,2,51,1,6,-4.237172119,33.56506413,333.33334
1.40E+11,14,2,163,3,7,-4.135902632,33.38887681,500
1.40E+11,14,2,231,4,3,-4.785695442,33.70362673,277.77777
1.40E+11,14,3,53,8,1,-5.241334808,32.72377818,500
1.40E+11,14,3,131,3,6,-4.922257992,32.96915548,333.33334
1.40E+11,14,3,211,4,1,-5.049547078,32.98485878,300
1.40E+11,14,4,81,2,2,-5.106635207,32.29626221,333.33334
1.41E+11,14,5,31,2,5,-5.885207733,33.010026,350
1.41E+11,14,6,72,5,1,-4.990456161,32.82097385,388.88889
1.50E+11,15,1,101,5,1,-8.884385656,31.95983899,125
1.50E+11,15,3,123,1,5,-7.40381822,30.67629254,150
1.50E+11,15,3,123,1,301,-7.362931507,30.62597685,277.77777
1.60E+11,16,1,71,1,5,-3.892251072,30.62922859,350
1.60E+11,16,2,11,1,6,-3.90458892,30.33944043,250
1.60E+11,16,3,11,2,11,-4.480451081,29.66872744,600
1.60E+11,16,4,62,3,5,-4.914457519,29.70375795,400
1.61E+11,16,5,103,2,3,-5.076621145,30.67651643,250
1.61E+11,16,6,61,2,7,-4.252660128,30.07306518,350
1.61E+11,16,7,81,2,18,-3.406001345,30.89198068,300
1.61E+11,16,8,71,2,4,-4.587936284,30.12575037,400
1.70E+11,17,2,33,5,309,-3.552252601,33.54503404,388.88889
1.70E+11,17,3,31,3,1,-3.72171141,32.99231062,350
1.70E+11,17,3,101,6,2,-3.551870692,33.12856171,388.88889
1.70E+11,17,4,23,3,14,-3.319339296,32.40801803,444.44446
1.70E+11,17,4,111,1,1,-3.471039533,32.65633906,555
1.70E+11,17,4,181,3,4,-4.221989635,32.67984171,1200
1.71E+11,17,5,103,2,4,-3.881222909,32.68996785,500
1.80E+11,18,1,21,3,15,-1.368193491,31.13950798,444.44446
1.80E+11,18,1,63,2,306,-1.539299604,31.14481839,500
1.80E+11,18,1,121,3,1,-1.773822603,31.14945349,333.33334
1.80E+11,18,1,191,2,3,-1.581036939,30.96686855,350
1.80E+11,18,3,191,6,1,-2.096406785,31.38167555,444.44446
1.80E+11,18,3,261,2,4,-2.041003797,31.51835863,450
1.80E+11,18,3,343,2,9,-1.802502818,31.55109158,500
1.80E+11,18,3,421,3,2,-1.595455321,31.64014714,350
1.80E+11,18,4,71,4,4,-2.788890026,31.43539558,450
1.80E+11,18,4,141,1,3,-3.158047879,31.32773606,4000
1.81E+11,18,5,51,5,12,-2.898701965,30.75142153,400
1.81E+11,18,5,201,1,27,-2.521094354,30.79015661,500
1.81E+11,18,8,11,6,7,-1.334696783,30.6959461,388.88889
1.81E+11,18,8,91,1,9,-1.116820352,30.90902963,500
1.90E+11,19,1,71,1,7,-2.111288781,33.03958465,800
1.90E+11,19,2,13,1,3,-2.562896301,33.03438772,400
1.90E+11,19,2,101,2,2,-2.653203064,33.43696517,500
1.90E+11,19,3,62,2,6,-2.507489389,32.90219798,583.33331
1.90E+11,19,3,92,10,3,-2.563063146,32.97288038,500
1.90E+11,19,4,31,4,1,-2.773481907,33.19168421,325
1.90E+11,19,4,161,4,3,-3.205754614,33.43372658,333.33334
1.90E+11,19,4,252,14,4,-2.963762935,33.3413359,375
1.90E+11,19,4,291,3,4,-3.208693999,33.33307081,300
1.91E+11,19,5,171,3,6,-2.36019155,32.20269771,500
1.91E+11,19,5,231,2,8,-2.340418548,32.49509677,1000
1.91E+11,19,6,22,11,7,-2.532659426,32.93905303,1200
1.91E+11,19,6,62,6,6,-2.480425878,32.90738327,800
1.91E+11,19,7,11,3,2,-2.775327931,33.00637197,375
2.00E+11,20,1,121,3,13,-1.5331596,34.57186917,555.55554
2.00E+11,20,2,11,4,6,-1.726895149,34.27392667,625
2.00E+11,20,2,221,1,1,-1.779409911,34.44536607,444.44446
2.00E+11,20,3,101,4,9,-1.88648094,33.73450182,500
2.00E+11,20,4,13,1,304,-1.903881941,34.00503955,450
2.00E+11,20,4,121,3,3,-2.120531606,33.53369421,375
2.01E+11,20,6,131,3,2,-1.182844124,34.32574871,500
2.01E+11,20,7,181,3,11,-1.624962208,33.92579968,450
2.10E+11,21,1,71,1,2,-4.335904557,35.70368599,600
2.10E+11,21,2,11,1,6,-4.706229251,35.19889134,200
2.10E+11,21,2,231,2,2,-4.57907423,35.52479213,500
2.10E+11,21,3,231,2,3,-3.986189648,35.56754861,300
2.10E+11,21,4,161,1,11,-3.576284189,37.00788532,550
2.11E+11,21,6,63,4,301,-4.204057577,35.75610713,800
2.21E+11,22,5,181,3,4,-10.14164707,34.58733771,400
2.21E+11,22,6,22,1,3,-8.855329305,34.81596064,400
2.30E+11,23,1,62,1,4,-6.342617331,31.05825359,275
2.30E+11,23,2,21,9,2,-6.120354397,30.94173118,4000
2.30E+11,23,2,71,4,7,-6.729344395,30.41560024,250
2.30E+11,23,3,81,2,2,-6.727820015,32.03403446,300
2.30E+11,23,3,221,1,7,-7.246177822,31.38580001,6000
2.40E+11,24,1,11,1,1,-2.497086826,34.18643186,1000
2.40E+11,24,1,73,2,2,-2.757951554,34.03878869,361.11111
2.40E+11,24,1,141,2,7,-2.620348142,33.77425579,333.33334
2.40E+11,24,1,252,5,7,-2.797485642,33.99474992,625
2.40E+11,24,3,21,4,2,-3.642558876,34.29704102,333.33334
2.40E+11,24,3,121,3,2,-3.946217891,34.30359608,638
2.40E+11,24,4,81,2,4,-3.452131072,34.01653352,666
2.40E+11,24,4,161,1,2,-3.111907378,33.77276991,277.77777
2.40E+11,24,4,241,2,6,-3.199691372,33.51285223,500
2.41E+11,24,5,63,2,6,-2.373944017,33.6127491,400
2.50E+11,25,1,11,2,16,-2.743856337,32.03983511,388.88889
2.50E+11,25,1,81,1,16,-2.555948458,32.13414539,250
2.50E+11,25,1,211,2,8,-3.190474298,32.34475868,526.3158
2.50E+11,25,1,283,2,3,-2.978369803,31.94330477,350
2.50E+11,25,2,21,1,1,-3.013517658,32.5372311,500
2.50E+11,25,4,21,1,8,-3.356622098,31.57330488,500
2.51E+11,25,5,13,3,6,-2.365001766,31.7722719,300
2.51E+11,25,5,153,2,2,-2.948488535,31.62046536,250
5.10E+11,51,1,162,3,3,-5.727170851,39.29768197,1100
5.30E+11,53,1,13,5,301,-6.160211603,39.25235097,1200
5.30E+11,53,1,242,1,3,-6.158383781,39.25129776,1300
5.30E+11,53,1,362,4,1,-6.178602347,39.22558832,1200
5.30E+11,53,1,383,2,301,-6.179097991,39.25334423,1300
5.30E+11,53,2,132,3,2,-6.162855508,39.22269786,1100
5.40E+11,54,1,71,1,1,-5.177302915,39.80283843,1000
5.40E+11,54,1,192,1,1,-5.070540227,39.73189989,1200
5.40E+11,54,1,201,1,2,-5.137311677,39.80180372,1200
5.50E+11,55,1,91,2,1,-5.276789673,39.75209106,800
5.50E+11,55,1,251,2,5,-5.260049974,39.81990018,1200
5.50E+11,55,1,262,2,1,-5.258487918,39.77684276,800
